5.000 	 0.000 	 -0.120 
4.933 	 0.000 	 -0.117 
4.865 	 -0.000 	 -0.042 
4.798 	 -0.000 	 -0.161 
4.731 	 -0.001 	 -0.082 
4.663 	 0.001 	 -0.087 
4.596 	 -0.000 	 -0.127 
4.529 	 -0.000 	 -0.124 
4.461 	 0.000 	 -0.108 
4.394 	 -0.000 	 -0.044 
4.327 	 0.001 	 -0.071 
4.259 	 -0.000 	 -0.154 
4.192 	 0.000 	 -0.124 
4.124 	 -0.001 	 -0.136 
4.057 	 -0.000 	 -0.118 
3.990 	 0.000 	 -0.110 
3.922 	 -0.001 	 -0.142 
3.855 	 -0.000 	 -0.013 
3.788 	 -0.001 	 -0.154 
3.720 	 0.000 	 -0.044 
3.653 	 0.000 	 -0.096 
3.586 	 -0.000 	 -0.119 
3.518 	 -0.000 	 -0.157 
3.451 	 -0.000 	 -0.126 
3.384 	 -0.000 	 -0.173 
3.316 	 0.000 	 -0.143 
3.249 	 -0.000 	 -0.073 
3.182 	 0.000 	 -0.104 
3.114 	 -0.000 	 -0.197 
3.047 	 0.000 	 -0.182 
2.980 	 0.000 	 -0.107 
2.912 	 -0.001 	 -0.161 
2.845 	 0.001 	 -0.206 
2.778 	 0.000 	 -0.142 
2.710 	 0.000 	 -0.204 
2.643 	 0.001 	 -0.159 
2.576 	 -0.000 	 -0.139 
2.508 	 -0.000 	 -0.151 
2.441 	 -0.000 	 -0.126 
2.373 	 0.001 	 -0.188 
2.306 	 -0.000 	 -0.088 
2.239 	 -0.000 	 -0.204 
2.171 	 0.001 	 -0.205 
2.104 	 -0.000 	 -0.093 
2.037 	 -0.001 	 -0.174 
1.969 	 0.001 	 -0.184 
1.902 	 -0.001 	 -0.245 
1.835 	 -0.001 	 -0.257 
1.767 	 0.001 	 -0.247 
1.700 	 0.000 	 -0.258 
