3.000000 	 0.000305 	 0.005438 	 -0.007676 	 -0.801797 
2.855556 	 0.000299 	 0.006134 	 -0.012891 	 -0.882617 
2.711111 	 0.000671 	 0.005449 	 0.021074 	 -0.955586 
2.566667 	 0.000665 	 0.010712 	 -0.066484 	 -1.060703 
2.422222 	 0.001220 	 0.012164 	 -0.160781 	 -1.165195 
2.277778 	 0.000994 	 0.007826 	 -0.431699 	 -1.335664 
2.133333 	 0.001490 	 0.006675 	 -0.780293 	 -1.587930 
1.988889 	 0.000705 	 0.000487 	 -0.901211 	 -1.733867 
1.844445 	 0.000389 	 0.000124 	 -0.951406 	 -1.844219 
1.700000 	 0.000272 	 0.000064 	 -0.971777 	 -1.904297 
